label,status,reward_step_mean,reward_step_std,reward_last_episode_mean,reward_last_episode_std,reward_min_step,output1_mae_mean,output2_mae_mean,output1_mae_last_episode,output2_mae_last_episode,u1_lower_sat_frac,u1_upper_sat_frac,u2_lower_sat_frac,u2_upper_sat_frac,gain_fro_norm,bundle_path,plot_dir,poles,poles_arr,pole_mean,pole_max,pole_min
q01_uniform_fast_minus_04,ok,10.900052737113706,42.89906723426831,14.176388708539143,25.987502169030588,-784.8652992515842,0.002805290667101,0.0197627178729532,0.0024348496595496,0.0156942063994221,0.0,0.0,0.0,0.0,2.191221271826547,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q01_uniform_fast_minus_04.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q01_uniform_fast_minus_04_nominal_none\20260428_142353,"[0.16, 0.21, 0.26, 0.31, 0.36, 0.41, 0.46]",[0.16 0.21 0.26 0.31 0.36 0.41 0.46],0.31,0.46,0.16
q11_front_faster_b,ok,9.767669068973827,42.72429427943781,12.920020930880922,25.855359861605297,-784.8652992515842,0.0028112584895176,0.0213194634021345,0.0024826368910444,0.0170505048981734,0.0,0.0,0.0,0.0,2.1156520113616537,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q11_front_faster_b.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q11_front_faster_b_nominal_none\20260428_161903,"[0.12, 0.18, 0.24, 0.3, 0.36, 0.45, 0.55]",[0.12 0.18 0.24 0.3  0.36 0.45 0.55],0.31428571428571433,0.55,0.12
q10_front_faster_a,ok,9.339620188736792,42.58540348609605,12.442717616864051,25.68025525644578,-784.8652992515842,0.0028313347756834,0.0216963957634491,0.0025169016228706,0.0173926078303494,0.0,0.0,0.0,0.0,2.060195714931817,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q10_front_faster_a.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q10_front_faster_a_nominal_none\20260428_160730,"[0.15, 0.2, 0.25, 0.3, 0.35, 0.45, 0.55]",[0.15 0.2  0.25 0.3  0.35 0.45 0.55],0.32142857142857145,0.55,0.15
q06_tail_faster,ok,9.032419076459938,42.142598033784296,12.057423188087403,24.96711584514602,-784.8652992515842,0.0028709299698292,0.0212489275700626,0.0025709010623361,0.0170722958115144,0.0,0.0,0.0,0.0,1.993889362215104,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q06_tail_faster.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q06_tail_faster_nominal_none\20260428_151947,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.35, 0.45]",[0.2  0.25 0.3  0.35 0.4  0.35 0.45],0.3285714285714286,0.45,0.2
q02_uniform_fast_minus_02,ok,8.856511107687288,42.22147400125432,11.895231860683428,25.121214136520184,-784.8652992515842,0.0028757520506604,0.0216568429206042,0.0025775512488566,0.0174081051202283,0.0,0.0,0.0,0.0,1.9849415637034584,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q02_uniform_fast_minus_02.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q02_uniform_fast_minus_02_nominal_none\20260428_143454,"[0.18, 0.23, 0.28, 0.33, 0.38, 0.43, 0.48]",[0.18 0.23 0.28 0.33 0.38 0.43 0.48],0.32999999999999996,0.48,0.18
q03_uniform_fast_center,ok,5.66079194016024,41.38135170184069,8.768545378329428,23.901196579071065,-784.8652992515842,0.0031057123227422,0.0241820475497575,0.0028130169161109,0.0197069478621097,0.0,0.0,0.0,0.0,1.7936999224461565,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q03_uniform_fast_center.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q03_uniform_fast_center_nominal_none\20260428_144602,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5]",[0.2  0.25 0.3  0.35 0.4  0.45 0.5 ],0.35000000000000003,0.5,0.2
q07_tail_mid,ok,4.805895193660782,41.2389893248466,7.617342802795406,23.99496779880153,-784.8652992515842,0.0032183428870249,0.0255803759552078,0.0029992617441722,0.0209005057008155,0.0,0.0,0.0,0.0,1.5966175875005837,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q07_tail_mid.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q07_tail_mid_nominal_none\20260428_153049,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.5, 0.6]",[0.2  0.25 0.3  0.35 0.4  0.5  0.6 ],0.37142857142857144,0.6,0.2
q04_uniform_fast_plus_02,ok,1.7488364224993342,40.46863642293191,5.132646798597107,22.41579942166784,-784.8652992515842,0.0035186679625691,0.027225302160348,0.003154105035502,0.022487302803796,0.0,0.0,0.0,0.0,1.6168905083297314,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q04_uniform_fast_plus_02.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q04_uniform_fast_plus_02_nominal_none\20260428_145719,"[0.22, 0.27, 0.32, 0.37, 0.42, 0.47, 0.52]",[0.22 0.27 0.32 0.37 0.42 0.47 0.52],0.37000000000000005,0.52,0.22
q05_uniform_fast_plus_04,ok,-3.901133615945982,39.47131439506588,-0.228818900304012,20.45584372890833,-784.8652992515842,0.0042970470076809,0.0326422866354977,0.0037641784161205,0.0274455623489635,0.0,0.0,0.0,0.0,1.453552896597513,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q05_uniform_fast_plus_04.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q05_uniform_fast_plus_04_nominal_none\20260428_150840,"[0.24, 0.29, 0.34, 0.39, 0.44, 0.49, 0.54]",[0.24 0.29 0.34 0.39 0.44 0.49 0.54],0.39000000000000007,0.54,0.24
q08_tail_slower,ok,-152.0692726012749,311.0174624041208,-134.34982180291064,265.80641417094023,-2410.6069420000817,0.0312123894811804,0.1237126489917596,0.0305014436026617,0.1171033109064884,0.0,0.0,0.0,0.02875,0.8998976508059536,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q08_tail_slower.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q08_tail_slower_nominal_none\20260428_154311,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.6, 0.75]",[0.2  0.25 0.3  0.35 0.4  0.6  0.75],0.40714285714285714,0.75,0.2
q09_tail_slowest,ok,-1087.4351018855368,3681.154437847186,-1058.4609703022602,3631.9369178505535,-25013.68975998892,0.0761911430405344,0.199199841835738,0.0757387995929966,0.2069263527456181,0.0,0.14375,0.0025,0.165,0.4888384689843218,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_141210\q09_tail_slowest.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_141210\q09_tail_slowest_nominal_none\20260428_155603,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.75, 0.9]",[0.2  0.25 0.3  0.35 0.4  0.75 0.9 ],0.45,0.9,0.2
