method,candidate,label,window,raw_delta,norm_delta,mpc_abs_mean
Residual,current_bonus,Current bonus,Release,-4.3296086421932465,-0.24415140068938668,17.733294300045582
Residual,current_bonus,Current bonus,Early,-0.9110753430932981,-0.05137654220800679,17.733294300045582
Residual,current_bonus,Current bonus,Mid,0.16693031501625927,0.009413384348774395,17.733294300045582
Residual,current_bonus,Current bonus,Tail,-2.8400635485640664,-0.16015431202519237,17.733294300045582
Residual,current_bonus,Current bonus,Full,-1.8480292636829068,-0.10421240590803013,17.733294300045582
Residual,pure_quad_QR,Pure quad Q/R,Release,0.1537111975938936,0.05656590259006308,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Early,0.4780266687169783,0.1759143797027521,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Mid,0.6487750557406523,0.23874998816186693,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Tail,0.04820530601391052,0.01773960965102369,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Full,0.2370898299257168,0.08724933794417006,2.7173825671597434
Residual,pure_quad_output,Pure quad output only,Release,0.2023554869629267,0.09386855492598811,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Early,0.5273438102800597,0.24462396430704478,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Mid,0.6657469919678781,0.3088263581100588,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Tail,0.14817191779287914,0.06873390987602952,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Full,0.3015134664924083,0.13986590536857046,2.155732418832659
Residual,no_bonus,No bonus,Release,0.062327808316962025,0.017517651076185786,3.5580003304034875
Residual,no_bonus,No bonus,Early,0.558273443615539,0.1569065182049124,3.5580003304034875
Residual,no_bonus,No bonus,Mid,0.7640756589347214,0.2147486194437967,3.5580003304034875
Residual,no_bonus,No bonus,Tail,-0.05000380122224543,-0.014053905727595828,3.5580003304034875
Residual,no_bonus,No bonus,Full,0.21622863483864627,0.06077251679572646,3.5580003304034875
Residual,low_bonus,Low bonus beta=3,Release,-1.8199306704731273,-0.3269234604151002,5.5668402266461126
Residual,low_bonus,Low bonus beta=3,Early,-0.07144746497396261,-0.012834473788554908,5.5668402266461126
Residual,low_bonus,Low bonus beta=3,Mid,0.5081562258268087,0.09128270349748491,5.5668402266461126
Residual,low_bonus,Low bonus beta=3,Tail,-1.2457436929401684,-0.22377931505512227,5.5668402266461126
Residual,low_bonus,Low bonus beta=3,Full,-0.668453321670591,-0.12007769119562427,5.5668402266461126
Residual,high_bonus,High bonus beta=12,Release,-7.466706106843396,-0.22666658808369475,32.94136189179491
Residual,high_bonus,High bonus beta=12,Early,-1.9606101907424682,-0.05951818862810344,32.94136189179491
Residual,high_bonus,High bonus beta=12,Mid,-0.25960207349692943,-0.007880732871630044,32.94136189179491
Residual,high_bonus,High bonus beta=12,Tail,-4.832963368093938,-0.14671413355553278,32.94136189179491
Residual,high_bonus,High bonus beta=12,Full,-3.322499191198302,-0.10086101485761205,32.94136189179491
Residual,half_x24_Q,Half x24 Q,Release,-2.4174407871791534,-0.2677112560635667,9.030030424290956
Residual,half_x24_Q,Half x24 Q,Early,-0.35570783086441443,-0.039391653643552904,9.030030424290956
Residual,half_x24_Q,Half x24 Q,Mid,0.36826834430482386,0.04078262497479244,9.030030424290956
Residual,half_x24_Q,Half x24 Q,Tail,-1.4835885102605817,-0.1642949625363055,9.030030424290956
Residual,half_x24_Q,Half x24 Q,Full,-0.9028056683296746,-0.09997814247680825,9.030030424290956
Residual,double_x24_Q,Double x24 Q,Release,-8.153944352221435,-0.23204284700868733,35.13982205155483
Residual,double_x24_Q,Double x24 Q,Early,-2.0218103675510664,-0.05753615839558889,35.13982205155483
Residual,double_x24_Q,Double x24 Q,Mid,-0.23574574356087172,-0.006708791615819827,35.13982205155483
Residual,double_x24_Q,Double x24 Q,Tail,-5.553013625171034,-0.15802623066855656,35.13982205155483
Residual,double_x24_Q,Double x24 Q,Full,-3.7384764543893714,-0.10638859948990424,35.13982205155483
Residual,low_move_R,Low move R 0.1x,Release,-4.285828781761118,-0.23498440766709153,18.238779433539957
Residual,low_move_R,Low move R 0.1x,Early,-0.8666899156865246,-0.04751907433524508,18.238779433539957
Residual,low_move_R,Low move R 0.1x,Mid,0.18220505762076195,0.009989980869317298,18.238779433539957
Residual,low_move_R,Low move R 0.1x,Tail,-2.7500935979629935,-0.1507827652603631,18.238779433539957
Residual,low_move_R,Low move R 0.1x,Full,-1.7900479907728846,-0.09814516356731087,18.238779433539957
Residual,high_move_R,High move R 5x,Release,-4.524185799669379,-0.292133743027487,15.486693706737245
Residual,high_move_R,High move R 5x,Early,-1.1083439093456242,-0.07156749725497938,15.486693706737245
Residual,high_move_R,High move R 5x,Mid,0.09904257010735629,0.006395333438038447,15.486693706737245
Residual,high_move_R,High move R 5x,Tail,-3.2399299956799403,-0.20920733999345895,15.486693706737245
Residual,high_move_R,High move R 5x,Full,-2.1057238099496725,-0.13596987516022288,15.486693706737245
Matrix pre-step,current_bonus,Current bonus,Release,-79.01557409086804,-4.455775263971396,17.733294300045582
Matrix pre-step,current_bonus,Current bonus,Early,-16.164201623117197,-0.9115171354865321,17.733294300045582
Matrix pre-step,current_bonus,Current bonus,Mid,-8.09462565262894,-0.45646485732818043,17.733294300045582
Matrix pre-step,current_bonus,Current bonus,Tail,-3.0208288642496153,-0.170347867301895,17.733294300045582
Matrix pre-step,current_bonus,Current bonus,Full,-11.480138172706047,-0.6473776377058457,17.733294300045582
Matrix pre-step,pure_quad_QR,Pure quad Q/R,Release,-58.94470805403977,-21.691722308960653,2.7173825671597434
Matrix pre-step,pure_quad_QR,Pure quad Q/R,Early,-6.039664943024463,-2.2226038453382833,2.7173825671597434
Matrix pre-step,pure_quad_QR,Pure quad Q/R,Mid,-3.2457478208881825,-1.194439038549031,2.7173825671597434
Matrix pre-step,pure_quad_QR,Pure quad Q/R,Tail,-1.8621927814417827,-0.6852891469706378,2.7173825671597434
Matrix pre-step,pure_quad_QR,Pure quad Q/R,Full,-6.9070488086005914,-2.541802134183837,2.7173825671597434
Matrix pre-step,pure_quad_output,Pure quad output only,Release,-34.6706064494085,-16.082982352783294,2.155732418832659
Matrix pre-step,pure_quad_output,Pure quad output only,Early,-2.6681866892460664,-1.2377170125274193,2.155732418832659
Matrix pre-step,pure_quad_output,Pure quad output only,Mid,-0.722027195687603,-0.334933588872122,2.155732418832659
Matrix pre-step,pure_quad_output,Pure quad output only,Tail,0.2601567868454092,0.12068139096144663,2.155732418832659
Matrix pre-step,pure_quad_output,Pure quad output only,Full,-3.0148505258497926,-1.3985272474040866,2.155732418832659
Matrix pre-step,no_bonus,No bonus,Release,-62.01856304413617,-17.4307356056662,3.5580003304034875
Matrix pre-step,no_bonus,No bonus,Early,-6.668537867919976,-1.874237562862661,3.5580003304034875
Matrix pre-step,no_bonus,No bonus,Mid,-3.4269196506526995,-0.9631588905063637,3.5580003304034875
Matrix pre-step,no_bonus,No bonus,Tail,-1.7421095380759244,-0.4896316403316252,3.5580003304034875
Matrix pre-step,no_bonus,No bonus,Full,-7.208111609402137,-2.0258884036092026,3.5580003304034875
Matrix pre-step,low_bonus,Low bonus beta=3,Release,-69.3029963498784,-12.449251914605748,5.5668402266461126
Matrix pre-step,low_bonus,Low bonus beta=3,Early,-10.738108048718784,-1.9289413044980164,5.5668402266461126
Matrix pre-step,low_bonus,Low bonus beta=3,Mid,-5.427365080071088,-0.9749453656120008,5.5668402266461126
Matrix pre-step,low_bonus,Low bonus beta=3,Tail,-2.290132106436077,-0.4113881507635485,5.5668402266461126
Matrix pre-step,low_bonus,Low bonus beta=3,Full,-9.038980136532382,-1.6237182618007615,5.5668402266461126
Matrix pre-step,high_bonus,High bonus beta=12,Release,-91.1562962671051,-2.7672291317685453,32.94136189179491
Matrix pre-step,high_bonus,High bonus beta=12,Early,-22.946818591115218,-0.6965959290478163,32.94136189179491
Matrix pre-step,high_bonus,High bonus beta=12,Mid,-11.428701368326255,-0.3469407672295703,32.94136189179491
Matrix pre-step,high_bonus,High bonus beta=12,Tail,-3.9341998115165375,-0.11943039345001927,32.94136189179491
Matrix pre-step,high_bonus,High bonus beta=12,Full,-14.531585717923127,-0.44113494049384394,32.94136189179491
Matrix pre-step,half_x24_Q,Half x24 Q,Release,-56.99527149861082,-6.3117474494097445,9.030030424290956
Matrix pre-step,half_x24_Q,Half x24 Q,Early,-11.853985492372841,-1.3127292971777138,9.030030424290956
Matrix pre-step,half_x24_Q,Half x24 Q,Mid,-6.482611071048718,-0.7178947098129781,9.030030424290956
Matrix pre-step,half_x24_Q,Half x24 Q,Tail,-3.1881863501642793,-0.3530648514304001,9.030030424290956
Matrix pre-step,half_x24_Q,Half x24 Q,Full,-8.943358673332785,-0.9904018317895117,9.030030424290956
Matrix pre-step,double_x24_Q,Double x24 Q,Release,-123.05617927538246,-3.501901036802137,35.13982205155483
Matrix pre-step,double_x24_Q,Double x24 Q,Early,-24.78463388460591,-0.7053147237980752,35.13982205155483
Matrix pre-step,double_x24_Q,Double x24 Q,Mid,-11.318654815789385,-0.3221033617980023,35.13982205155483
Matrix pre-step,double_x24_Q,Double x24 Q,Tail,-2.686113892420288,-0.07644073690752899,35.13982205155483
Matrix pre-step,double_x24_Q,Double x24 Q,Full,-16.55369717145257,-0.47108084802381966,35.13982205155483
Matrix pre-step,low_move_R,Low move R 0.1x,Release,-57.16888264669989,-3.134468666339039,18.238779433539957
Matrix pre-step,low_move_R,Low move R 0.1x,Early,-13.129871194716637,-0.719887602268584,18.238779433539957
Matrix pre-step,low_move_R,Low move R 0.1x,Mid,-5.823277089948419,-0.31927997765244004,18.238779433539957
Matrix pre-step,low_move_R,Low move R 0.1x,Tail,-1.1107142527911422,-0.06089849689988625,18.238779433539957
Matrix pre-step,low_move_R,Low move R 0.1x,Full,-7.977159718230328,-0.43737355053270927,18.238779433539957
Matrix pre-step,high_move_R,High move R 5x,Release,-176.11198050939313,-11.37182563588627,15.486693706737245
Matrix pre-step,high_move_R,High move R 5x,Early,-29.65011463823078,-1.9145542101947788,15.486693706737245
Matrix pre-step,high_move_R,High move R 5x,Mid,-18.189508153431255,-1.1745249501201278,15.486693706737245
Matrix pre-step,high_move_R,High move R 5x,Tail,-11.510227137398385,-0.7432333431112568,15.486693706737245
Matrix pre-step,high_move_R,High move R 5x,Full,-27.04893130370924,-1.746591739716659,15.486693706737245
